UUID,FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,DataSource_KEY,Datatype_KEY,AgeBand_KEY,FinanceType_KEY,PrimarySupportReason_KEY,ComparativeTotals_KEY,ItemValue
8510101,2017,618,E06000040,E12000008,2,1,2,3,,1,2967
8510101,2017,619,E06000041,E12000008,2,1,2,3,,1,3263.439719
8510101,2017,620,E10000012,E12000006,2,1,2,3,,1,25919
8510101,2017,621,E06000033,E12000006,2,1,2,3,,1,0
8510101,2017,622,E06000034,E12000006,2,1,2,3,,1,3793
8510101,2017,623,E10000003,E12000006,2,1,2,3,,1,24625.3
8510101,2017,624,E06000031,E12000006,2,1,2,3,,1,12279.79883
8510101,2017,625,E06000055,E12000006,2,1,2,3,,1,3202
8510101,2017,626,E06000056,E12000006,2,1,2,3,,1,8678
8510101,2017,702,E09000007,E12000007,2,1,2,3,,1,8494.17
8510101,2017,703,E09000011,E12000007,2,1,2,3,,1,6066.2
8510101,2017,704,E09000012,E12000007,2,1,2,3,,1,9096
8510101,2017,705,E09000013,E12000007,2,1,2,3,,1,6658.501119
8510101,2017,706,E09000019,E12000007,2,1,2,3,,1,6860
8510101,2017,707,E09000020,E12000007,2,1,2,3,,1,7163
8510101,2017,708,E09000022,E12000007,2,1,2,3,,1,3000.11
8510101,2017,709,E09000023,E12000007,2,1,2,3,,1,8044.51
8510101,2017,710,E09000028,E12000007,2,1,2,3,,1,14669
8510101,2017,711,E09000030,E12000007,2,1,2,3,,1,10863
8510101,2017,712,E09000032,E12000007,2,1,2,3,,1,9857
8510101,2017,713,E09000033,E12000007,2,1,2,3,,1,17673.841
8510101,2017,714,E09000001,E12000007,2,1,2,3,,1,274
8510101,2017,716,E09000002,E12000007,2,1,2,3,,1,4837
8510101,2017,717,E09000003,E12000007,2,1,2,3,,1,7676.75572
8510101,2017,718,E09000004,E12000007,2,1,2,3,,1,3409
8510101,2017,719,E09000005,E12000007,2,1,2,3,,1,5616
8510101,2017,720,E09000006,E12000007,2,1,2,3,,1,4266
8510101,2017,721,E09000008,E12000007,2,1,2,3,,1,10048
8510101,2017,722,E09000009,E12000007,2,1,2,3,,1,4490
8510101,2017,723,E09000010,E12000007,2,1,2,3,,1,4601
8510101,2017,724,E09000014,E12000007,2,1,2,3,,1,3578
8510101,2017,725,E09000015,E12000007,2,1,2,3,,1,4972.144465
8510101,2017,726,E09000016,E12000007,2,1,2,3,,1,7501.41442
8510101,2017,727,E09000017,E12000007,2,1,2,3,,1,10797.21402
8510101,2017,728,E09000018,E12000007,2,1,2,3,,1,13910
8510101,2017,729,E09000021,E12000007,2,1,2,3,,1,8608
8510101,2017,730,E09000024,E12000007,2,1,2,3,,1,5151.33
8510101,2017,731,E09000025,E12000007,2,1,2,3,,1,9256.55672
8510101,2017,732,E09000026,E12000007,2,1,2,3,,1,4107
8510101,2017,733,E09000027,E12000007,2,1,2,3,,1,9968
8510101,2017,734,E09000029,E12000007,2,1,2,3,,1,5037
8510101,2017,735,E09000031,E12000007,2,1,2,3,,1,6732
8510101,2017,803,E06000046,E12000008,2,1,2,3,,1,5430.83232
8510101,2017,805,E10000030,E12000008,2,1,2,3,,1,20215.49352
8510101,2017,807,E10000032,E12000008,2,1,2,3,,1,15502
