UUID,FY_Ending,CASSR_CODE,GEOGRAPHY_CODE,REGION_GO_CODE,DataType_KEY,AgeBand_KEY,PrimarySupportReason_KEY,CareType_KEY,SupportSetting_KEY,Purpose_KEY,ActivityProvision_KEY,ItemValue
8610101,2017,724,E09000014,E12000007,1,1,6,2,7,,3,0
8610101,2017,725,E09000015,E12000007,1,1,6,2,7,,3,0
8610101,2017,726,E09000016,E12000007,1,1,6,2,7,,3,0
8610101,2017,727,E09000017,E12000007,1,1,6,2,7,,3,0
8610101,2017,728,E09000018,E12000007,1,1,6,2,7,,3,156.43
8610101,2017,729,E09000021,E12000007,1,1,6,2,7,,3,0
8610101,2017,730,E09000024,E12000007,1,1,6,2,7,,3,52
8610101,2017,731,E09000025,E12000007,1,1,6,2,7,,3,0
8610101,2017,732,E09000026,E12000007,1,1,6,2,7,,3,0
8610101,2017,733,E09000027,E12000007,1,1,6,2,7,,3,0
8610101,2017,734,E09000029,E12000007,1,1,6,2,7,,3,0
8610101,2017,735,E09000031,E12000007,1,1,6,2,7,,3,0
8610101,2017,803,E06000046,E12000008,1,1,6,2,7,,3,0
8610101,2017,805,E10000030,E12000008,1,1,6,2,7,,3,52.14285714
8610101,2017,807,E10000032,E12000008,1,1,6,2,7,,3,0
8610101,2017,809,E10000009,E12000009,1,1,6,2,7,,3,0
8610101,2017,810,E06000028,E12000009,1,1,6,2,7,,3,0
8610101,2017,811,E06000029,E12000009,1,1,6,2,7,,3,0
8610101,2017,812,E10000014,E12000008,1,1,6,2,7,,3,0
8610101,2017,813,E06000044,E12000008,1,1,6,2,7,,3,0
8610101,2017,814,E06000045,E12000008,1,1,6,2,7,,3,0
8610101,2017,815,E10000011,E12000008,1,1,6,2,7,,3,0
8610101,2017,816,E06000043,E12000008,1,1,6,2,7,,3,0
8610101,2017,817,E06000054,E12000009,1,1,6,2,7,,3,0
8610101,2017,819,E06000030,E12000009,1,1,6,2,7,,3,0
8610101,2017,820,E10000016,E12000008,1,1,6,2,7,,3,45.71428571
8610101,2017,821,E06000035,E12000008,1,1,6,2,7,,3,0
8610101,2017,902,E06000052,E12000009,1,1,6,2,7,,3,0
8610101,2017,904,E10000013,E12000009,1,1,6,2,7,,3,0
8610101,2017,905,E10000027,E12000009,1,1,6,2,7,,3,0
8610101,2017,908,E06000022,E12000009,1,1,6,2,7,,3,0
8610101,2017,909,E06000023,E12000009,1,1,6,2,7,,3,0
8610101,2017,910,E06000024,E12000009,1,1,6,2,7,,3,0
8610101,2017,911,E06000025,E12000009,1,1,6,2,7,,3,0
8610101,2017,912,E10000008,E12000009,1,1,6,2,7,,3,21.2
8610101,2017,913,E06000026,E12000009,1,1,6,2,7,,3,0
8610101,2017,914,E06000027,E12000009,1,1,6,2,7,,3,0
8610102,2017,102,E10000006,E12000002,1,1,6,2,7,,2,2961.14
8610102,2017,104,E06000057,E12000001,1,1,6,2,7,,2,1329
8610102,2017,106,E08000037,E12000001,1,1,6,2,7,,2,903.57
8610102,2017,107,E08000021,E12000001,1,1,6,2,7,,2,573.55
8610102,2017,108,E08000022,E12000001,1,1,6,2,7,,2,523
8610102,2017,109,E08000023,E12000001,1,1,6,2,7,,2,833
8610102,2017,110,E08000024,E12000001,1,1,6,2,7,,2,728.86
8610102,2017,111,E06000001,E12000001,1,1,6,2,7,,2,74
8610102,2017,112,E06000002,E12000001,1,1,6,2,7,,2,1023.72
8610102,2017,113,E06000003,E12000001,1,1,6,2,7,,2,987.43
8610102,2017,114,E06000004,E12000001,1,1,6,2,7,,2,1038.36
8610102,2017,116,E06000047,E12000001,1,1,6,2,7,,2,2403.19
8610102,2017,117,E06000005,E12000001,1,1,6,2,7,,2,227
8610102,2017,204,E08000016,E12000003,1,1,6,2,7,,2,865.49
