"Mortality statistics - underlying cause, sex and age",,,,,,,,,,
ONS Crown Copyright Reserved [from Nomis on 17 January 2024],,,,,,,,,,
,,,,,,,,,,
cause of death,"A00-R99,U00-Y89 All causes, all ages",,,,,,,,,
gender,Total,,,,,,,,,
age,total (all ages),,,,,,,,,
measure,Age-standardised mortality rate,,,,,,,,,
,,,,,,,,,,
local authority: county / unitary (as of April 2021),2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Dudley,987.99,995.89,"1,025.16",977.75,966.08,"1,032.97",948.68,"1,116.50","1,057.29","1,012.98"
Sandwell,"1,163.48","1,087.88","1,138.01","1,108.16","1,127.04","1,145.25","1,117.28","1,377.05","1,257.23","1,144.86"
Solihull,880.78,866.54,859.41,866.62,869.65,856.46,817.95,"1,021.21",913.41,923.17
Walsall,"1,008.01","1,058.80","1,116.90","1,052.25","1,100.45","1,048.67","1,030.63","1,217.48","1,166.87","1,069.22"
Wolverhampton,"1,097.97","1,067.61","1,151.11","1,107.64","1,132.24","1,180.48","1,059.37","1,323.67","1,254.62","1,121.56"
Worcestershire,968.87,917.72,932.96,910.13,949.33,931.59,895.32,"1,006.19",977.19,939.84
Bedford,925.98,889.03,980.05,929.99,942.71,937.77,934.58,"1,037.51","1,058.78",957.21
Central Bedfordshire,912.27,855.63,903.78,881.27,823.29,916.41,860.04,968.68,955.04,907.84
Luton,991.46,"1,043.20","1,014.23","1,064.26","1,074.96","1,047.48",957.71,"1,225.96","1,135.37","1,058.04"
Peterborough,"1,013.96","1,017.24","1,007.33","1,048.26","1,044.05","1,037.34",965.80,"1,065.81","1,090.41","1,093.98"
Southend-on-Sea,"1,027.97",958.39,"1,054.88","1,033.10","1,071.62","1,076.69",991.60,"1,147.03","1,137.42","1,001.14"
Thurrock,"1,041.45","1,007.88","1,051.36","1,058.86","1,093.78","1,036.30","1,009.89","1,191.54","1,164.68","1,040.04"
Cambridgeshire,880.85,850.14,902.23,867.01,879.90,876.04,846.31,912.08,893.11,890.62
Essex,922.63,929.67,961.35,946.06,955.55,941.11,913.00,992.00,"1,005.18",914.47
Hertfordshire,899.48,881.73,919.85,868.66,906.02,904.70,856.58,978.43,911.64,859.05
Norfolk,926.95,895.06,925.44,928.15,912.93,929.44,886.16,965.43,972.05,958.71
Suffolk,913.69,855.20,908.59,878.31,899.49,910.41,861.19,945.55,899.36,891.77
Camden,826.11,774.21,839.59,791.01,858.30,838.55,810.16,952.47,934.31,827.62
City of London,428.02,450.42,639.23,695.67,651.89,569.69,699.88,697.46,788.23,647.91
Hackney,973.07,992.41,"1,061.85","1,006.10","1,013.49",936.95,948.68,"1,215.36","1,229.31","1,019.89"
Hammersmith and Fulham,956.46,909.65,"1,027.70",901.39,952.09,978.27,891.46,"1,158.88","1,067.95",905.68
Haringey,847.49,883.01,922.43,854.83,839.48,871.74,888.65,"1,076.97",980.17,858.92
Islington,"1,045.18",953.61,"1,048.49",930.29,"1,024.81","1,043.90",963.93,"1,114.16","1,138.34",982.76
Kensington and Chelsea,724.46,728.15,762.90,736.95,786.10,720.29,703.50,815.97,834.30,767.57
Lambeth,"1,009.52",958.72,"1,046.88",994.26,963.16,976.73,911.48,"1,161.26","1,029.57","1,013.56"
Lewisham,981.22,989.57,"1,023.90",929.04,972.54,994.60,950.68,"1,138.52","1,107.76",974.75
Newham,"1,055.16","1,024.44","1,101.21",978.88,"1,042.33","1,034.20",968.41,"1,307.65","1,234.94",980.73
Southwark,975.42,998.74,990.23,976.65,971.57,963.17,901.95,"1,126.89","1,029.78",940.29
Tower Hamlets,"1,056.39","1,130.42","1,161.98","1,095.06","1,066.12","1,153.38",997.15,"1,311.22","1,277.97","1,093.37"
Wandsworth,976.57,917.46,981.19,937.36,934.18,885.16,903.23,"1,028.68",941.94,847.12
Westminster,779.66,785.72,865.25,829.00,838.85,789.01,756.49,986.45,877.07,751.94
Barking and Dagenham,"1,057.08","1,097.03","1,159.23","1,026.59","1,066.10","1,122.75","1,114.18","1,342.08","1,293.31","1,168.64"
Barnet,824.77,791.67,830.34,806.13,775.15,790.79,729.95,934.42,846.80,789.66
Bexley,919.00,890.74,970.42,916.26,921.05,962.63,890.51,"1,004.24","1,017.07",938.23
Brent,890.43,848.61,904.14,857.68,865.59,826.14,786.80,"1,033.95",973.03,847.02
Bromley,823.76,846.66,824.21,841.29,814.94,859.56,796.67,885.78,857.78,782.00
Croydon,886.54,913.57,966.99,894.98,907.33,926.53,879.01,"1,063.74",955.89,882.54
Ealing,903.07,882.16,883.09,873.72,841.44,882.67,840.88,"1,063.89",991.20,858.33
Enfield,903.88,879.92,939.57,862.96,861.54,845.88,809.17,"1,021.73",921.13,822.11
Greenwich,"1,009.98","1,038.50","1,028.21","1,020.11","1,007.62",965.35,959.00,"1,143.26","1,084.24",983.53
Harrow,745.38,738.89,773.15,718.72,728.24,721.00,710.54,893.01,845.52,767.44
Havering,944.34,890.46,919.35,950.33,974.55,910.16,925.13,"1,114.57","1,013.24",941.99
Hillingdon,883.05,903.96,959.41,865.39,889.80,988.27,901.14,"1,026.74","1,036.68",910.41
