"","percent_sector","SupportSetting","DH_GEOGRAPHY_NAME","ActivityProvision","ITEMVALUE","year"
"125",6.18134120347598,"Residential","SHROPSHIRE","In House",3016,2001
"126",93.818658796524,"Residential","SHROPSHIRE","External",45776,2001
"127",0,"Residential","SOMERSET","In House",0,2001
"128",100,"Residential","SOMERSET","External",67652,2001
"129",37.9323636029918,"Residential","STAFFORDSHIRE","In House",41333,2001
"130",62.0676363970082,"Residential","STAFFORDSHIRE","External",67632,2001
"131",38.9656654996622,"Residential","SUFFOLK","In House",38064,2001
"132",61.0343345003378,"Residential","SUFFOLK","External",59622,2001
"133",31.3116370808679,"Residential","SURREY","In House",33020,2001
"134",68.6883629191321,"Residential","SURREY","External",72436,2001
"135",33.200160571942,"Residential","WARWICKSHIRE","In House",17368,2001
"136",66.799839428058,"Residential","WARWICKSHIRE","External",34945,2001
"137",25.3986931856231,"Residential","WEST SUSSEX","In House",26549,2001
"138",74.6013068143769,"Residential","WEST SUSSEX","External",77980,2001
"139",21.0666974293899,"Residential","WILTSHIRE","In House",10957,2001
"140",78.9333025706101,"Residential","WILTSHIRE","External",41054,2001
"141",8.11287477954145,"Residential","WORCESTERSHIRE","In House",4784,2001
"142",91.8871252204586,"Residential","WORCESTERSHIRE","External",54184,2001
"143",46.2365591397849,"Residential","BATH AND NORTH EAST SOMERSET","In House",10062,2001
"144",53.763440860215,"Residential","BATH AND NORTH EAST SOMERSET","External",11700,2001
"145",28.8900643568721,"Residential","BLACKBURN WITH DARWEN","In House",9831,2001
"146",71.1099356431279,"Residential","BLACKBURN WITH DARWEN","External",24198,2001
"147",22.3643993161685,"Residential","BLACKPOOL","In House",8634,2001
"148",77.6356006838315,"Residential","BLACKPOOL","External",29972,2001
"149",4.23452768729642,"Residential","BOURNEMOUTH","In House",1352,2001
"150",95.7654723127036,"Residential","BOURNEMOUTH","External",30576,2001
"151",47.9968883702839,"Residential","BRACKNELL FOREST","In House",3702,2001
"152",52.0031116297161,"Residential","BRACKNELL FOREST","External",4011,2001
"153",19.5530183408235,"Residential","BRIGHTON AND HOVE","In House",8049,2001
"154",80.4469816591765,"Residential","BRIGHTON AND HOVE","External",33116,2001
"155",51.0539119287972,"Residential","BRISTOL","In House",35048,2001
"156",48.9460880712028,"Residential","BRISTOL","External",33601,2001
"157",29.3999329534026,"Residential","DARLINGTON","In House",5262,2001
"158",70.6000670465974,"Residential","DARLINGTON","External",12636,2001
"159",40.2330363262509,"Residential","DERBY","In House",15262,2001
"160",59.7669636737491,"Residential","DERBY","External",22672,2001
"161",5.8321479374111,"Residential","EAST RIDING OF YORKSHIRE","In House",4715,2001
"162",94.1678520625889,"Residential","EAST RIDING OF YORKSHIRE","External",76130,2001
"163",17.4221434112823,"Residential","HALTON","In House",3144,2001
"164",82.5778565887177,"Residential","HALTON","External",14902,2001
"165",3.57980987232011,"Residential","HARTLEPOOL","In House",900,2001
"166",96.4201901276799,"Residential","HARTLEPOOL","External",24241,2001
"167",30.8406162717362,"Residential","HEREFORDSHIRE","In House",6846,2001
"168",69.1593837282638,"Residential","HEREFORDSHIRE","External",15352,2001
"169",5.64439740152745,"Residential","ISLE OF WIGHT","In House",2049.86,2001
"170",94.3556025984725,"Residential","ISLE OF WIGHT","External",34266.86,2001
"171",10.5998879665937,"Residential","KINGSTON UPON HULL","In House",8326,2001
"172",89.4001120334063,"Residential","KINGSTON UPON HULL","External",70222,2001
"173",30.2784810126582,"Residential","LEICESTER","In House",15548,2001
"174",69.7215189873418,"Residential","LEICESTER","External",35802,2001
"175",59.016393442623,"Residential","LUTON","In House",13104,2001
"176",40.983606557377,"Residential","LUTON","External",9100,2001
"177",23.6807339449541,"Residential","MEDWAY TOWNS","In House",6453,2001
"178",76.3192660550459,"Residential","MEDWAY TOWNS","External",20797,2001
"179",33.6332958380203,"Residential","MIDDLESBROUGH","In House",8372,2001
"180",66.3667041619798,"Residential","MIDDLESBROUGH","External",16520,2001
"181",8.01867549068492,"Residential","MILTON KEYNES","In House",1769,2001
"182",91.9813245093151,"Residential","MILTON KEYNES","External",20292,2001
"183",8.38936999081909,"Residential","NORTH EAST LINCOLNSHIRE","In House",3381,2001
"184",91.6106300091809,"Residential","NORTH EAST LINCOLNSHIRE","External",36920,2001
"185",11.8427299703264,"Residential","NORTH LINCOLNSHIRE","In House",3991,2001
"186",88.1572700296736,"Residential","NORTH LINCOLNSHIRE","External",29709,2001
"187",21.0544939844303,"Residential","NORTH SOMERSET","In House",5355,2001
"188",78.9455060155697,"Residential","NORTH SOMERSET","External",20079,2001
"189",29.1240551356158,"Residential","NOTTINGHAM","In House",17030,2001
"190",70.8759448643842,"Residential","NOTTINGHAM","External",41444,2001
"191",54.8524287763886,"Residential","PETERBOROUGH","In House",10705,2001
"192",45.1475712236114,"Residential","PETERBOROUGH","External",8811,2001
"193",16.2174261344894,"Residential","PLYMOUTH","In House",6883,2001
"194",83.7825738655106,"Residential","PLYMOUTH","External",35559,2001
"195",14.3046776232617,"Residential","POOLE","In House",2263,2001
"196",85.6953223767383,"Residential","POOLE","External",13557,2001
"197",51.0338664447937,"Residential","PORTSMOUTH","In House",16561,2001
"198",48.9661335552063,"Residential","PORTSMOUTH","External",15890,2001
"199",58.1859756097561,"Residential","READING","In House",7634,2001
"200",41.8140243902439,"Residential","READING","External",5486,2001
"201",40.9527468305801,"Residential","REDCAR AND CLEVELAND","In House",8528,2001
"202",59.0472531694199,"Residential","REDCAR AND CLEVELAND","External",12296,2001
"203",46.9700284401663,"Residential","RUTLAND","In House",2147,2001
"204",53.0299715598337,"Residential","RUTLAND","External",2424,2001
"205",56.9333996023857,"Residential","SLOUGH","In House",4582,2001
"206",43.0666003976143,"Residential","SLOUGH","External",3466,2001
"207",46.6865332765716,"Residential","SOUTH GLOUCESTERSHIRE","In House",9870,2001
"208",53.3134667234284,"Residential","SOUTH GLOUCESTERSHIRE","External",11271,2001
"209",25.5725704443308,"Residential","SOUTHAMPTON","In House",9502,2001
"210",74.4274295556692,"Residential","SOUTHAMPTON","External",27655,2001
"211",12.3502056877124,"Residential","SOUTHEND ON SEA","In House",4143,2001
"212",87.6497943122876,"Residential","SOUTHEND ON SEA","External",29403,2001
"213",23.4122305855325,"Residential","STOCKTON ON TEES","In House",7745,2001
"214",76.5877694144675,"Residential","STOCKTON ON TEES","External",25336,2001
"215",54.4271901552886,"Residential","STOKE ON TRENT","In House",27864,2001
"216",45.5728098447114,"Residential","STOKE ON TRENT","External",23331,2001
"217",52.6315789473684,"Residential","SWINDON","In House",10400,2001
"218",47.3684210526316,"Residential","SWINDON","External",9360,2001
"219",0,"Residential","TELFORD AND WREKIN","In House",0,2001
"220",100,"Residential","TELFORD AND WREKIN","External",22836,2001
"221",24.7351578018098,"Residential","THURROCK","In House",4483,2001
"222",75.2648421981902,"Residential","THURROCK","External",13641,2001
"223",17.6690565228783,"Residential","TORBAY","In House",7418,2001
"224",82.3309434771217,"Residential","TORBAY","External",34565,2001
"225",20.7834913977982,"Residential","WARRINGTON","In House",4361,2001
"226",79.2165086022018,"Residential","WARRINGTON","External",16622,2001
"227",40.8163265306122,"Residential","WEST BERKSHIRE","In House",4160,2001
"228",59.1836734693878,"Residential","WEST BERKSHIRE","External",6032,2001
"229",39.9846212995002,"Residential","WINDSOR AND MAIDENHEAD","In House",4160,2001
"230",60.0153787004998,"Residential","WINDSOR AND MAIDENHEAD","External",6244,2001
"231",36.8866151597411,"Residential","WOKINGHAM","In House",3533,2001
"232",63.1133848402589,"Residential","WOKINGHAM","External",6045,2001
"233",57.843137254902,"Residential","YORK","In House",12272,2001
"234",42.156862745098,"Residential","YORK","External",8944,2001
"235",28.495617639003,"Residential","CAMDEN","In House",8323,2001
"236",71.504382360997,"Residential","CAMDEN","External",20885,2001
"237",0,"Residential","LONDON","In House",0,2001
"238",100,"Residential","LONDON","External",737,2001
"239",30.4516085610446,"Residential","GREENWICH","In House",9049,2001
"240",69.5483914389554,"Residential","GREENWICH","External",20667,2001
"241",4.39024390243902,"Residential","HACKNEY","In House",936,2001
"242",95.609756097561,"Residential","HACKNEY","External",20384,2001
"243",28.4938212644021,"Residential","HAMMERSMITH AND FULHAM","In House",4773,2001
"244",71.5061787355979,"Residential","HAMMERSMITH AND FULHAM","External",11978,2001
"245",14.7869115549215,"Residential","ISLINGTON","In House",3317,2001
"246",85.2130884450785,"Residential","ISLINGTON","External",19115,2001
"247",32.5286445197089,"Residential","KENSINGTON AND CHELSEA","In House",4514,2001
"248",67.4713554802911,"Residential","KENSINGTON AND CHELSEA","External",9363,2001
"249",23.1578947368421,"Residential","LAMBETH","In House",5720,2001
"250",76.8421052631579,"Residential","LAMBETH","External",18980,2001
"251",23.1157591056617,"Residential","LEWISHAM","In House",6410,2001
"252",76.8842408943383,"Residential","LEWISHAM","External",21320,2001
"253",32.5320189083269,"Residential","SOUTHWARK","In House",8052,2001
"254",67.4679810916731,"Residential","SOUTHWARK","External",16699,2001
"255",19.8181818181818,"Residential","TOWER HAMLETS","In House",5668,2001
"256",80.1818181818182,"Residential","TOWER HAMLETS","External",22932,2001
"257",0,"Residential","WANDSWORTH","In House",0,2001
"258",100,"Residential","WANDSWORTH","External",26541,2001
"259",32.5773732119636,"Residential","WESTMINSTER","In House",6263,2001
"260",67.4226267880364,"Residential","WESTMINSTER","External",12962,2001
"261",83.2459148678636,"Residential","BARKING AND DAGENHAM","In House",24759,2001
"262",16.7540851321364,"Residential","BARKING AND DAGENHAM","External",4983,2001
"263",44.5508982035928,"Residential","BARNET","In House",19344,2001
"264",55.4491017964072,"Residential","BARNET","External",24076,2001
"265",0,"Residential","BEXLEY","In House",0,2001
"266",100,"Residential","BEXLEY","External",25188,2001
"267",6.54205607476635,"Residential","BRENT","In House",1456,2001
"268",93.4579439252336,"Residential","BRENT","External",20800,2001
"269",NA,"Residential","BROMLEY","In House",NA,2001
"270",NA,"Residential","BROMLEY","External",30941,2001
"271",46.9891295847345,"Residential","CROYDON","In House",12017,2001
"272",53.0108704152655,"Residential","CROYDON","External",13557,2001
"273",31.6313626304142,"Residential","EALING","In House",8004,2001
"274",68.3686373695858,"Residential","EALING","External",17300,2001
"275",20.1886334687936,"Residential","ENFIELD","In House",6657,2001
"276",79.8113665312064,"Residential","ENFIELD","External",26317,2001
"277",NA,"Residential","HARINGEY","In House",0,2001
"278",NA,"Residential","HARINGEY","External",NA,2001
"279",6.60377358490566,"Residential","HARROW","In House",1274,2001
"280",93.3962264150943,"Residential","HARROW","External",18018,2001
"281",40.3010199029607,"Residential","HAVERING","In House",8140,2001
"282",59.6989800970393,"Residential","HAVERING","External",12058,2001
