"","Service","SupportSetting","DH_GEOGRAPHY_NAME","Sector","Expenditure","year","percent_sector"
"132","C1","assessment_care_management","DEVON","Total","6821",2001,100
"133","C1","assessment_care_management","DORSET","In House","3598",2001,99.6675900277008
"134","C1","assessment_care_management","DORSET","External","12",2001,0.332409972299169
"135","C1","assessment_care_management","DORSET","Total","3610",2001,100
"136","C1","assessment_care_management","DURHAM","In House","2920.02172116633",2001,100
"137","C1","assessment_care_management","DURHAM","External","0",2001,0
"138","C1","assessment_care_management","DURHAM","Total","2920.02172116633",2001,100
"139","C1","assessment_care_management","EAST SUSSEX","In House","5754.3340699204",2001,100
"140","C1","assessment_care_management","EAST SUSSEX","External","0",2001,0
"141","C1","assessment_care_management","EAST SUSSEX","Total","5754.3340699204",2001,100
"142","C1","assessment_care_management","ESSEX","In House","12782.633096413",2001,100
"143","C1","assessment_care_management","ESSEX","External","0",2001,0
"144","C1","assessment_care_management","ESSEX","Total","12782.633096413",2001,100
"145","C1","assessment_care_management","GLOUCESTERSHIRE","In House","4693.55850841798",2001,99.9999999999999
"146","C1","assessment_care_management","GLOUCESTERSHIRE","External","0",2001,0
"147","C1","assessment_care_management","GLOUCESTERSHIRE","Total","4693.55850841798",2001,100
"148","C1","assessment_care_management","HAMPSHIRE","In House","6331",2001,100
"149","C1","assessment_care_management","HAMPSHIRE","External","0",2001,0
"150","C1","assessment_care_management","HAMPSHIRE","Total","6331",2001,100
"151","C1","assessment_care_management","HERTFORDSHIRE","In House","8939.94650672718",2001,100
"152","C1","assessment_care_management","HERTFORDSHIRE","External","0",2001,0
"153","C1","assessment_care_management","HERTFORDSHIRE","Total","8939.94650672718",2001,100
"154","C1","assessment_care_management","ISLES OF SCILLY","In House","0",2001,NA
"155","C1","assessment_care_management","ISLES OF SCILLY","External","0",2001,NA
"156","C1","assessment_care_management","ISLES OF SCILLY","Total","0",2001,NA
"157","C1","assessment_care_management","KENT","In House","1406",2001,13.3764627533061
"158","C1","assessment_care_management","KENT","External","9105",2001,86.6235372466939
"159","C1","assessment_care_management","KENT","Total","10511",2001,100
"160","C1","assessment_care_management","LANCASHIRE","In House","9732",2001,99.9281240373755
"161","C1","assessment_care_management","LANCASHIRE","External","7",2001,0.0718759626244994
"162","C1","assessment_care_management","LANCASHIRE","Total","9739",2001,100
"163","C1","assessment_care_management","LEICESTERSHIRE","In House","5639",2001,100
"164","C1","assessment_care_management","LEICESTERSHIRE","External","0",2001,0
"165","C1","assessment_care_management","LEICESTERSHIRE","Total","5639",2001,100
"166","C1","assessment_care_management","LINCOLNSHIRE","In House","2754",2001,99.2074927953891
"167","C1","assessment_care_management","LINCOLNSHIRE","External","22",2001,0.792507204610951
"168","C1","assessment_care_management","LINCOLNSHIRE","Total","2776",2001,100
"169","C1","assessment_care_management","NORFOLK","In House","4881.48147213247",2001,100
"170","C1","assessment_care_management","NORFOLK","External","0",2001,0
"171","C1","assessment_care_management","NORFOLK","Total","4881.48147213247",2001,100
"172","C1","assessment_care_management","NORTH YORKSHIRE","In House","3641",2001,100
"173","C1","assessment_care_management","NORTH YORKSHIRE","External","0",2001,0
"174","C1","assessment_care_management","NORTH YORKSHIRE","Total","3641",2001,100
"175","C1","assessment_care_management","NORTHAMPTONSHIRE","In House","3859",2001,88.6922546541025
"176","C1","assessment_care_management","NORTHAMPTONSHIRE","External","492",2001,11.3077453458975
"177","C1","assessment_care_management","NORTHAMPTONSHIRE","Total","4351",2001,100
"178","C1","assessment_care_management","NORTHUMBERLAND","In House","6375",2001,100
"179","C1","assessment_care_management","NORTHUMBERLAND","External","0",2001,0
"180","C1","assessment_care_management","NORTHUMBERLAND","Total","6375",2001,100
"181","C1","assessment_care_management","NOTTINGHAMSHIRE","In House","9015",2001,99.8007306542677
"182","C1","assessment_care_management","NOTTINGHAMSHIRE","External","18",2001,0.199269345732315
"183","C1","assessment_care_management","NOTTINGHAMSHIRE","Total","9033",2001,100
"184","C1","assessment_care_management","OXFORDSHIRE","In House","7096.44348461072",2001,100
"185","C1","assessment_care_management","OXFORDSHIRE","External","0",2001,0
"186","C1","assessment_care_management","OXFORDSHIRE","Total","7096.44348461072",2001,100
