"Table 46: Gross current expenditure on other (not long or short term) social care, by primary support reason, 2024 to 2025",,,,,,,,,,,,,
This worksheet contains one table.,,,,,,,,,,,,,
Blank cells indicate where geography information is not applicable (e.g. CASSR codes for regions).,,,,,,,,,,,,,
Values in £thousands.,,,,,,,,,,,,,
Source: Adult social care finance return (ASC-FR),,,,,,,,,,,,,
Geography code,LA code,LA name,Region code,Region name,Social support: Substance misuse support,Social support: Asylum seeker support,Social support: Support to carer,Social support: Support for social isolation/other,Assistive equipment and technology,Social care activities,Information and early intervention,Commissioning and service delivery,Total
E10000016,820,Kent,E12000008,South East,£0,£0,"£17,494","£6,263","£7,096","£47,431","£2,823","£54,414","£135,521"
E06000035,821,Medway,E12000008,South East,£0,£0,£654,£0,-£288,"£11,695",£289,"£1,065","£13,415"
E06000060,916,Buckinghamshire,E12000008,South East,£0,£0,"£2,173",£0,-£4,"£12,496",£594,"£6,406","£21,665"
E06000058,738,"Bournemouth, Christchurch and Poole",E12000009,South West,"£2,878",£0,"£1,567",£54,"£1,876","£20,338","£1,405","£4,009","£32,126"
E06000059,809,Dorset,E12000009,South West,£0,£0,£7,"£2,203",£859,"£18,212",£263,"£10,217","£31,761"
E06000054,817,Wiltshire,E12000009,South West,£0,£0,"£1,493",£565,£512,£441,"£2,001","£6,233","£11,245"
E06000030,819,Swindon,E12000009,South West,£0,£0,£450,£255,£940,"£15,678","£1,301","£2,474","£21,098"
E06000052,902,Cornwall,E12000009,South West,"£1,397",£0,"£4,067",£719,"£2,883","£29,897","£4,300","£21,498","£64,761"
E10000013,904,Gloucestershire,E12000009,South West,£0,"£4,538",£159,"£4,983","£6,095","£39,710","£1,234","-£7,403","£49,316"
E06000066,905,Somerset,E12000009,South West,£0,£31,£223,£0,"£2,962","£25,474",£0,"£3,630","£32,320"
E06000053,906,Isles of Scilly,E12000009,South West,£0,£0,£97,£0,£0,£188,£28,£230,£544
E06000022,908,Bath and North East Somerset,E12000009,South West,"£1,427",£0,£261,"£1,378",£398,"£9,984",£287,"£8,232","£21,967"
E06000023,909,"Bristol, City of",E12000009,South West,"£1,468",£0,"£3,625","£1,163","£3,547","£22,658",£653,"£9,761","£42,875"
E06000024,910,North Somerset,E12000009,South West,£497,£121,"£1,868",£0,£429,"£11,131",£815,"£3,215","£18,076"
E06000025,911,South Gloucestershire,E12000009,South West,£227,"£2,205",£560,"£1,548",£942,"£11,399","£2,300","£9,777","£28,958"
E10000008,912,Devon,E12000009,South West,"£1,062",£3,£824,"£6,343",£425,"£36,256","£1,933","£32,119","£78,965"
E06000026,913,Plymouth,E12000009,South West,£693,£83,£40,"£1,234","£1,036","£2,004","£4,416","£6,741","£16,247"
E06000027,914,Torbay,E12000009,South West,£280,£0,£470,£254,"£1,360",£421,"£1,650","£3,228","£7,663"
