,"GDP DEFLATORS AT MARKET PRICES, AND MONEY GDP",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Outturn data are as at the Quarterly National Accounts from ONS - last updated 22 December 2023.,,,,,,,,,,,,,,,,
,Forecast data are consistent with OBR Autumn Statement EFO data as at 22 November 2023.,,,,,,,,,,,,,,,,
,Financial year,,,,,,Calendar year,,,,,,,,,,
,,GDP deflator at market prices ,,"Money GDP (3), (4)",,,,GDP deflator at market prices ,,Money GDP (3),,,,,,,
,Financial year,2022-23 = 100,per cent change on previous year,"Cash £ million
Non-Season-ally Adjusted","Cash £ million
Seasonally Adjusted",,Calendar year,2022 = 100,per cent change on previous year,"Cash £ million
Non-Seasonally Adjusted",,,,,,,
,,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/uksecondestimateofgdpdatatables/quarter3julytosept2023quarterlynationalaccounts/quarterlynationalaccountsdatatables.xlsx,,,,,,,,,,,,,,,
,,For years 2023-24 to 2028-29 (2023 to 2028): taken from the Office for Budget Responsibility (OBR) GDP deflator forecasts as of November 2023 Economy Supplementary tables.,,,,,,,,,,,,,,,
,,https://obr.uk/efo/economic-and-fiscal-outlook-november-2023/,,,,,,,,,,,,,,,
,Money GDP:,For years 1955-56 to 2022-23 (1955 to 2022): ONS data for money GDP not seasonally adjusted series BKTL in data tables: Table N.,,,,,,,,,,,,,,,
,,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/uksecondestimateofgdpdatatables/quarter3julytosept2023quarterlynationalaccounts/quarterlynationalaccountsdatatables.xlsx,,,,,,,,,,,,,,,
,,For years 1955-56 to 2022-23: ONS data for money GDP seasonally adjusted series YBHA in data tables: Table N.,,,,,,,,,,,,,,,
,,https://www.ons.gov.uk/file?uri=/economy/grossdomesticproductgdp/datasets/uksecondestimateofgdpdatatables/quarter3julytosept2023quarterlynationalaccounts/quarterlynationalaccountsdatatables.xlsx,,,,,,,,,,,,,,,
,,For years 2023-24 to 2028-29 (2023 to 2028): taken from the Office for Budget Responsibility (OBR) GDP forecasts as of November 2023 Economy Supplementary tables.,,,,,,,,,,,,,,,
,,https://obr.uk/efo/economic-and-fiscal-outlook-november-2023/,,,,,,,,,,,,,,,
,Footnotes:,,,,,,,,,,,,,,,,
,(1),"For years 2023-24 to 2028-29 (2023 to 2028), this presentation only shows percentage changes in line with OBR data as of the Autumn Statement, November 2023.",,,,,,,,,,,,,,,
,(2),"For years 2023-24 to 2028-29 (2023 to 2028), money GDP forecasts from the OBR as of the Autumn Statement, November 2023.",,,,,,,,,,,,,,,
,(3),Non-Seasonally adjusted money GDP (BKTL) from 1955-56 to 2022-23 (1955 to 2022) consistent with ONS Quarterly National Accounts release of 22 December 2023.,,,,,,,,,,,,,,,
,(4),Seasonally adjusted money GDP (YBHA) from 1955-56 to 2022-23 consistent with ONS Quarterly National Accounts release of 22 December 2023.,,,,,,,,,,,,,,,
,(5),"For further information and the 'User's Guide' to these series, please visit the following page on the GOV.UK website at: ",,,,,,,,,,,,,,,
,,https://www.gov.uk/government/publications/gross-domestic-product-gdp-deflators-user-guide,,,,,,,,,,,,,,,
,(6),"For practical examples of how to use the GDP deflator series, please visit the following page on the GOV.UK website at: ",,,,,,,,,,,,,,,
,,https://www.gov.uk/government/publications/how-to-use-the-gdp-deflator-series-practical-examples,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
