212,Leeds,"13,155","1,890",80,80,15,95,"6,280",375,305,265,490,755,70,75,185,35,385,"3,470","1,740","1,085",105,210,230,"4,415","3,000","1,175",935,"140,385","6,655","15,935","7,440",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"53,910","26,175","60,305","3,705",300,"2,650",810,620,"14,505","3,955",125,"3,360","22,295","20,775","1,300","1,162,475","1,083,165","1,680",145,305,10,805,15,195,10,0,10,-,-,-,0,0,"9,650","1,275","1,320",805
316,Liverpool,"11,525","1,240",160,365,160,60,"5,635",505,60,195,130,910,110,50,305,50,355,"2,050",430,105,55,60,65,"2,735","1,710",120,535,"97,165","9,095","8,965","10,650",0,0,0,0,0,0,0,0,0,0,0,0,50,0,5,0,"3,010",195,20,45,"1,470",130,0,35,"32,155","2,945","62,065","1,465",0,"7,630","1,185",775,"7,005","6,415",0,"4,235","6,935","45,485","1,035","360,670","2,365,325",270,70,70,90,460,150,310,245,0,160,25,30,30,865,0,"8,125","1,795",845,590
306,Manchester,"6,920",660,105,0,435,0,"1,665",380,85,225,325,360,110,520,155,20,370,"2,130",510,"1,120",75,80,60,"3,395","1,115","1,350",585,"78,460","2,910","6,500","8,890",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"23,875",365,"54,225","1,455",0,"1,455",415,830,"5,250","2,390",0,"6,500","10,685","59,015","1,420","555,620","3,068,885",305,220,50,40,350,40,0,155,35,745,110,60,15,"3,990","2,770","7,305","1,435",945,"3,310"
107,Newcastle upon Tyne,"7,005",770,25,530,125,65,"3,430",330,70,200,445,245,100,130,55,20,325,"2,080",550,235,50,45,35,"2,985",915,235,455,"67,040","2,855","3,865","5,240",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,585,495,0,0,0,700,"22,455","3,110","41,475","1,555",0,"1,305",340,315,"3,205","2,815","1,635",785,"5,135","39,570",975,"272,625","1,954,945",80,670,10,75,190,25,10,45,0,70,0,0,0,0,"1,345",..,..,..,..
108,North Tyneside,"5,655",460,25,135,25,-,"2,180",145,45,85,20,220,35,5,130,15,135,"1,205",345,350,30,40,45,"1,375",740,370,250,"54,755","1,850","8,545","1,980",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,230","1,685",0,0,85,0,"20,160","2,180","32,415",480,0,"1,370",195,"1,150","7,205",140,0,"1,840","3,105","5,885",270,"161,565","306,070",55,310,15,30,110,130,35,95,5,10,-,-,-,0,"4,640","4,220",530,425,460
307,Oldham,"6,150",725,30,650,0,10,"2,495",240,0,55,145,110,20,50,165,10,90,"1,425",350,0,15,5,10,"1,865",670,0,120,"57,915","1,290","1,270","2,060",540,0,0,0,"2,055",0,0,0,560,0,0,0,"1,345",0,0,0,60,50,0,0,470,0,0,0,"12,760","6,330","38,825",640,75,570,415,0,855,660,-,"1,395","18,765","12,640",830,"975,675","657,330",250,630,0,0,60,15,225,0,0,0,0,0,0,0,0,"3,835",990,300,985
308,Rochdale,"5,465",500,65,135,-,10,"2,010",170,25,115,45,195,35,30,210,10,160,"1,260",255,315,45,25,20,"1,505",685,350,250,"46,380","3,315","4,750","2,610",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"9,050","2,715","34,615","2,280",0,"1,035",0,250,"4,500",625,0,"1,985","2,555","13,465",505,"132,810","700,230",205,10,35,0,355,80,110,35,0,35,5,5,-,"1,595",0,"3,640",755,330,790
206,Rotherham,"5,820",245,50,265,-,0,"1,590",210,55,145,115,265,75,50,50,50,275,"1,655",335,495,35,40,30,"2,035",705,525,375,"58,420","2,365","8,580","2,340",730,0,0,0,"3,690",50,0,0,"1,510",25,0,0,"1,015",0,0,0,440,0,0,0,0,0,0,0,"16,535","5,435","36,450","1,455",80,830,"1,950","1,665","4,965",545,0,"1,795","9,990","11,735",610,"519,420","610,315",320,55,0,40,310,10,145,125,0,185,50,20,10,0,"3,355","3,795",495,595,915
309,Salford,"6,975",270,20,40,10,40,"1,560",195,40,125,355,335,65,310,15,20,215,"1,615",340,325,65,75,55,"2,490",730,360,405,"43,640","2,935","5,180","3,800",125,0,0,0,"7,400",100,0,105,"2,505",105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,130","1,375","30,135",890,0,"2,045",700,640,"3,845",455,0,"3,340","8,280","29,425",680,"430,455","1,530,100",265,70,25,15,305,30,15,-,0,0,0,0,0,800,535,"5,075",985,410,445
409,Sandwell,"9,335","1,055",10,770,-,25,"3,995",205,55,130,220,335,35,40,125,25,205,"1,940",460,420,35,50,40,"2,405",975,445,325,"66,115","2,280","9,920","3,300",410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"25,495","6,110","34,510","1,265",0,"1,015","2,265",480,"7,175",520,0,"2,780","1,700","28,210",765,..,..,385,255,45,30,185,295,30,95,20,340,90,30,25,720,"1,675","8,310","1,615",840,620
